data,aoa,cl,cd,cm
ufov4.obj,0,-0.0139,0.667,0.0122
ufov4.obj,1,0.881,0.696,1.13
ufov4.obj,2,1.78,0.727,2.31
ufov4.obj,3,3.05,0.829,3.23
ufov4.obj,4,3.92,0.934,4.73
ufov4.obj,5,5.41,1.14,5.85
ufov4.obj,6,6.55,1.37,7.39
ufov4.obj,7,7.98,1.62,8.77
ufov4.obj,8,9.48,1.96,10.2
ufov4.obj,9,11.2,2.4,11.8
ufov4.obj,10,12.9,2.86,13.5
ufov4.obj,11,14.9,3.45,15.2
ufov4.obj,12,16.9,4.12,17.1
ufov4.obj,13,19.2,4.95,19.3
ufov4.obj,14,21.3,5.81,21.4
ufov4.obj,15,23.6,6.94,22.9
sinc.obj,0,-0.16,1.74,0.206
sinc.obj,1,0.3,1.74,2.65
sinc.obj,2,1.07,1.79,4.73
sinc.obj,3,1.48,1.84,7.45
sinc.obj,4,2.29,1.94,9.71
sinc.obj,5,3.14,2.06,12.1
sinc.obj,6,3.93,2.24,14.6
sinc.obj,7,4.93,2.42,17
sinc.obj,8,6.23,2.7,19.2
sinc.obj,9,7.51,2.99,21.5
sinc.obj,10,8.96,3.38,23.9
sinc.obj,11,10.7,3.81,25.9
sinc.obj,12,12.5,4.37,28.3
sinc.obj,13,14.3,4.91,30.6
sinc.obj,14,16.1,5.55,33.1
sinc.obj,15,18.5,6.33,35.1
sech.obj,0,-0.0157,0.279,0.0181
sech.obj,1,1.07,0.302,1.42
sech.obj,2,2.43,0.376,2.71
sech.obj,3,3.16,0.421,4.68
sech.obj,4,4.85,0.597,5.94
sech.obj,5,6.06,0.746,7.59
sech.obj,6,7.36,0.943,9.4
sech.obj,7,8.72,1.21,11
sech.obj,8,10.3,1.53,12.6
sech.obj,9,11.8,1.88,14.6
sech.obj,10,13.7,2.39,16.1
sech.obj,11,15.6,2.94,18.1
sech.obj,12,17.3,3.51,20.5
